Obs,Domain,Indicator,Measures,Data Breakdowns,Disaggregation,nObs,Percent,CI_low_95,CI_Upper_95,CV,CV_Interpretation,Label_,Source,Notes,Population,Measure,Definition,Data Source,Data Available,Population2,Estimate Calculation,Additional Remarks
25,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Population centre/rural area,Rural area,816,27.6,25.3,29.9,4.3,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by population centre/rural area, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
26,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Total population,2001,19.3,18.3,20.3,2.7,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
27,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Less than secondary,37,12.5,6.1,18.9,26,2,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
28,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Completed secondary,67,17.7,11.6,23.9,17.7,2,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
29,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Some post-secondary,962,23.9,21.9,26,4.4,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
30,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Bachelor degree,742,21.6,19.3,23.8,5.4,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
31,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Post-graduate degree,75,14,10,17.9,14.4,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
32,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Highest level of education,Currently studying,118,16.8,12.6,21,12.8,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by highest level of education, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
33,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Household income quintile,Total population,2619,19.3,18.3,20.3,2.7,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by household income quintile, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
34,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Household income quintile,Q1 (Lowest income),334,11.6,9.6,13.6,8.8,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by household income quintile, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
35,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Household income quintile,Q2,406,15.7,13.3,18,7.7,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by household income quintile, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
36,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Household income quintile,Q3,559,19.3,17,21.6,6.1,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by household income quintile, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
37,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Household income quintile,Q4,628,20.8,18.5,23.1,5.6,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by household income quintile, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
38,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Household income quintile,Q5 (Highest income),692,28.9,26.3,31.5,4.5,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by household income quintile, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
39,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Ethnicity,Total population,2608,19.3,18.3,20.3,2.7,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by ethnicity, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
40,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Ethnicity,Not a visible minority,2252,23.6,22.3,24.9,2.8,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by ethnicity, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
41,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Ethnicity,Visible minority,356,9.9,8.2,11.5,8.6,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by ethnicity, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
42,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Indigenous status,Total population,2600,19.3,18.3,20.3,2.7,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by indigenous status, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
43,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Indigenous status,Non-Indigenous,2401,19,17.9,20,2.8,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by indigenous status, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
44,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Indigenous status,Indigenous,199,29.9,24.1,35.7,9.8,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by indigenous status, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
45,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Immigrant status,Total population,2591,19.3,18.3,20.3,2.7,3,Percentage (%),Canadian Community Health Survey 2017,An immigrant refers to someone not born in Canada or has/had landed immigrant status,"aged 18+ years, by immigrant status, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
46,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Immigrant status,Non-immigrant,2386,24.9,23.6,26.2,2.6,2,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by immigrant status, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
47,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,Immigrant status,Immigrant,205,8.3,6.5,10.1,11.1,3,Percentage (%),Canadian Community Health Survey 2017,,"aged 18+ years, by immigrant status, Canada, 2017",Percentage (%) of adults with children at home who report consuming 5+ alcoholic drinks (4+ for females) on one occasion 12+ times in the past 12 months,"Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) who report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in the past 12 months","Canadian Community Health Survey (2017), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quintile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): G24 report consuming 5 or more alcoholic drinks (4 or more for females; 5 or more for males) on one occasion once a month or more, in past 12 months Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
1,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home with symptoms of drug abuse/dependence in the past 12 months,Sex,Total population,50,0.7,0.4,0.9,17.5,2,Percentage (%),Canadian Community Health Survey - Mental Health 2012,,"aged 18+ years, by sex, Canada, 2012","Percentage (%) of adults with children at home with symptoms of drug abuse/dependence, in the past 12 months","Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) with symptoms of drug abuse/dependence (as per the WHO-CIDI criteria), in the past 12 months","Canadian Community Health Survey (CCHS)- Mental Health (2012), Statistics Canada","Sex, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): number of adults aged 18 years and older who live with children aged 0-17 years and have symptoms of drug abuse/dependence, in the past 12 months  Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
2,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home with symptoms of drug abuse/dependence in the past 12 months,Sex,Females,27,0.5,0.3,0.8,23.7,2,Percentage (%),Canadian Community Health Survey - Mental Health 2012,,"aged 18+ years, by sex, Canada, 2012","Percentage (%) of adults with children at home with symptoms of drug abuse/dependence, in the past 12 months","Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) with symptoms of drug abuse/dependence (as per the WHO-CIDI criteria), in the past 12 months","Canadian Community Health Survey (CCHS)- Mental Health (2012), Statistics Canada","Sex, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): number of adults aged 18 years and older who live with children aged 0-17 years and have symptoms of drug abuse/dependence, in the past 12 months  Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
3,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home with symptoms of drug abuse/dependence in the past 12 months,Sex,Males,23,0.8,0.4,1.2,25.4,2,Percentage (%),Canadian Community Health Survey - Mental Health 2012,,"aged 18+ years, by sex, Canada, 2012","Percentage (%) of adults with children at home with symptoms of drug abuse/dependence, in the past 12 months","Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) with symptoms of drug abuse/dependence (as per the WHO-CIDI criteria), in the past 12 months","Canadian Community Health Survey (CCHS)- Mental Health (2012), Statistics Canada","Sex, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): number of adults aged 18 years and older who live with children aged 0-17 years and have symptoms of drug abuse/dependence, in the past 12 months  Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
4,Individual-Level Risk & Protective Factors (parent/caregiver),Substance abuse,Percentage (%) of adults with children under the age of 18 at home with symptoms of drug abuse/dependence in the past 12 months,Ethnicity,Total population,49,0.7,0.4,0.9,17.6,2,Percentage (%),Canadian Community Health Survey - Mental Health 2012,,"aged 18+ years, by ethnicity, Canada, 2012","Percentage (%) of adults with children at home with symptoms of drug abuse/dependence, in the past 12 months","Estimated percentage (%) of adults aged 18 years and over (living with children under the age of 18) with symptoms of drug abuse/dependence (as per the WHO-CIDI criteria), in the past 12 months","Canadian Community Health Survey (CCHS)- Mental Health (2012), Statistics Canada","Sex, Ethnicity",Population 18 years of age and over with children at home (all provinces),"Numerator (weighted estimate): number of adults aged 18 years and older who live with children aged 0-17 years and have symptoms of drug abuse/dependence, in the past 12 months  Denominator: Number of adults aged 18 years and older, living with children under the age of 18 years",
