Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Whitehorse, YK",21.4
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Whitehorse, YK",40
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",28.6
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",26.1
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",40
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Central and Northern Vancouver Island, BC",36.8
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Prince Albert, SK",8
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Prince Albert, SK",17.6
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Prince Albert, SK",12.5
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Regina, SK",12.7
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Regina, SK",13.8
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Regina, SK",4.3
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"Winnipeg, MN",10.5
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Winnipeg, MN",20
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Winnipeg, MN",14.8
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Winnipeg, MN",50
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"Thunder Bay, ON",5
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Thunder Bay, ON",17.8
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Thunder Bay, ON",33.3
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Thunder Bay, ON",26.7
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"London, ON",8.3
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"London, ON",21.8
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"London, ON",32.1
"Education, highest level",1010_c More than high school,Age group,55 years or more,"London, ON",41.7
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Hamilton, ON",34
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Hamilton, ON",45.3
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Hamilton, ON",47.2
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",28.6
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",20.3
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",31.5
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",35
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",10
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",30.1
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",31.2
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Montréal and the urban sites in the region of Montérégie, QC",35.7
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,"Québec City, QC",10
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,"Québec City, QC",39.3
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,"Québec City, QC",42.9
"Education, highest level",1010_c More than high school,Age group,55 years or more,"Québec City, QC",20
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,50
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,21.7
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,26.4
"Education, highest level",1010_c More than high school,Age group,55 years or more,Semi-urban sites in the province of Quebec,18.2
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,New Brunswick,33
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,New Brunswick,17.6
"Education, highest level",1010_c More than high school,Age group,55 years or more,New Brunswick,27.8
"Education, highest level",1010_c More than high school,Age group,Less than 25 years,Newfoundland,19.2
"Education, highest level",1010_c More than high school,Age group,25 to 39 years,Newfoundland,39.7
"Education, highest level",1010_c More than high school,Age group,40 to 54 years,Newfoundland,50
"Education, highest level",1010_c More than high school,Age group,55 years or more,Newfoundland,27.3
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Whitehorse, YK",28
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Whitehorse, YK",20.8
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Central and Northern Vancouver Island, BC",36.7
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Central and Northern Vancouver Island, BC",28.4
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Prince Albert, SK",11
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Prince Albert, SK",12.9
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Regina, SK",16.7
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Regina, SK",9.1
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Winnipeg, MN",15.8
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Winnipeg, MN",24
"Education, highest level",1010_c More than high school,Gender lived,TFEM,"Winnipeg, MN",25
"Education, highest level",1010_c More than high school,Gender lived,TMAS,"Winnipeg, MN",20
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Thunder Bay, ON",14.6
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Thunder Bay, ON",26.5
"Education, highest level",1010_c More than high school,Gender lived,CisF,"London, ON",38.1
"Education, highest level",1010_c More than high school,Gender lived,CisM,"London, ON",25.3
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Hamilton, ON",43.5
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Hamilton, ON",40.6
"Education, highest level",1010_c More than high school,Gender lived,TFEM,"Hamilton, ON",50
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",20.3
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",32.8
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",31.3
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",30.1
"Education, highest level",1010_c More than high school,Gender lived,CisF,"Québec City, QC",43.9
"Education, highest level",1010_c More than high school,Gender lived,CisM,"Québec City, QC",34.6
"Education, highest level",1010_c More than high school,Gender lived,CisF,Semi-urban sites in the province of Quebec,18.2
"Education, highest level",1010_c More than high school,Gender lived,CisM,Semi-urban sites in the province of Quebec,25
"Education, highest level",1010_c More than high school,Gender lived,TFEM,Semi-urban sites in the province of Quebec,100
"Education, highest level",1010_c More than high school,Gender lived,CisF,New Brunswick,25.7
"Education, highest level",1010_c More than high school,Gender lived,CisM,New Brunswick,24
"Education, highest level",1010_c More than high school,Gender lived,TFEM,New Brunswick,50
"Financial strain, past 12 months",Yes,None,None,Canada,86
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,Canada,77.1
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,Canada,87.5
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,Canada,85.9
"Financial strain, past 12 months",Yes,Age group,55 years or more,Canada,86.3
"Financial strain, past 12 months",Yes,Gender lived,CisF,Canada,87.6
"Financial strain, past 12 months",Yes,Gender lived,CisM,Canada,85.1
"Financial strain, past 12 months",Yes,Gender lived,TFEM,Canada,88.2
"Financial strain, past 12 months",Yes,Gender lived,TMAS,Canada,86.7
"Financial strain, past 12 months",Yes,None,None,"Whitehorse, YK",85.4
"Financial strain, past 12 months",Yes,None,None,"Central and Northern Vancouver Island, BC",96.6
"Financial strain, past 12 months",Yes,None,None,"Prince Albert, SK",83.3
"Financial strain, past 12 months",Yes,None,None,"Regina, SK",84.4
"Financial strain, past 12 months",Yes,None,None,"Winnipeg, MN",83.4
"Financial strain, past 12 months",Yes,None,None,"Thunder Bay, ON",80
"Financial strain, past 12 months",Yes,None,None,"Hamilton, ON",86
"Financial strain, past 12 months",Yes,None,None,New Brunswick,92
"Financial strain, past 12 months",Yes,None,None,Newfoundland,81.4
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,"Whitehorse, YK",66.7
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Whitehorse, YK",92.6
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Whitehorse, YK",80
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Whitehorse, YK",66.7
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",100
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",93.5
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",100
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Central and Northern Vancouver Island, BC",100
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Prince Albert, SK",88
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Prince Albert, SK",80.9
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Prince Albert, SK",87.5
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,"Regina, SK",66.7
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Regina, SK",84.8
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Regina, SK",85.1
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Regina, SK",87
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,"Winnipeg, MN",89.5
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Winnipeg, MN",83.8
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Winnipeg, MN",80.3
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Winnipeg, MN",85
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,"Thunder Bay, ON",66.7
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Thunder Bay, ON",81.3
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Thunder Bay, ON",82.5
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Thunder Bay, ON",80
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,"Hamilton, ON",75
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,"Hamilton, ON",96.2
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,"Hamilton, ON",84.4
"Financial strain, past 12 months",Yes,Age group,55 years or more,"Hamilton, ON",75
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,New Brunswick,80
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,New Brunswick,89.7
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,New Brunswick,96
"Financial strain, past 12 months",Yes,Age group,55 years or more,New Brunswick,94.4
"Financial strain, past 12 months",Yes,Age group,Less than 25 years,Newfoundland,73.1
"Financial strain, past 12 months",Yes,Age group,25 to 39 years,Newfoundland,83.9
"Financial strain, past 12 months",Yes,Age group,40 to 54 years,Newfoundland,76.7
"Financial strain, past 12 months",Yes,Age group,55 years or more,Newfoundland,100
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Whitehorse, YK",88
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Whitehorse, YK",82.6
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Central and Northern Vancouver Island, BC",96.7
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Central and Northern Vancouver Island, BC",96.6
"Financial strain, past 12 months",Yes,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Prince Albert, SK",84.1
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Prince Albert, SK",84.9
"Financial strain, past 12 months",Yes,Gender lived,TFEM,"Prince Albert, SK",50
"Financial strain, past 12 months",Yes,Gender lived,TMAS,"Prince Albert, SK",50
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Regina, SK",83.3
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Regina, SK",85.1
"Financial strain, past 12 months",Yes,Gender lived,TFEM,"Regina, SK",100
"Financial strain, past 12 months",Yes,Gender lived,TMAS,"Regina, SK",66.7
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Winnipeg, MN",88.2
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Winnipeg, MN",79.2
"Financial strain, past 12 months",Yes,Gender lived,TFEM,"Winnipeg, MN",75
"Financial strain, past 12 months",Yes,Gender lived,TMAS,"Winnipeg, MN",100
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Thunder Bay, ON",82.9
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Thunder Bay, ON",78
"Financial strain, past 12 months",Yes,Gender lived,CisF,"Hamilton, ON",82.6
"Financial strain, past 12 months",Yes,Gender lived,CisM,"Hamilton, ON",87.7
"Financial strain, past 12 months",Yes,Gender lived,TFEM,"Hamilton, ON",100
"Financial strain, past 12 months",Yes,Gender lived,TMAS,"Hamilton, ON",100
"Financial strain, past 12 months",Yes,Gender lived,CisF,New Brunswick,92.9
"Financial strain, past 12 months",Yes,Gender lived,CisM,New Brunswick,91.3
"Financial strain, past 12 months",Yes,Gender lived,TFEM,New Brunswick,100
Employment Status,1012_a - Employed full-time,None,None,Canada,13.5
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,Canada,14
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,Canada,16.1
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,Canada,11.5
Employment Status,1012_a - Employed full-time,Age group,55 years or more,Canada,7.9
Employment Status,1012_a - Employed full-time,Gender lived,CisF,Canada,8.9
Employment Status,1012_a - Employed full-time,Gender lived,CisM,Canada,16.2
Employment Status,1012_a - Employed full-time,Gender lived,TFEM,Canada,5.3
Employment Status,1012_a - Employed full-time,Gender lived,TMAS,Canada,20
Employment Status,1012_a - Employed full-time,None,None,"Whitehorse, YK",26.5
Employment Status,1012_a - Employed full-time,None,None,"Central and Northern Vancouver Island, BC",15.8
Employment Status,1012_a - Employed full-time,None,None,"Prince Albert, SK",8.3
Employment Status,1012_a - Employed full-time,None,None,"Regina, SK",7.8
Employment Status,1012_a - Employed full-time,None,None,"Winnipeg, MN",18.9
Employment Status,1012_a - Employed full-time,None,None,"Thunder Bay, ON",13.6
Employment Status,1012_a - Employed full-time,None,None,"London, ON",5.4
Employment Status,1012_a - Employed full-time,None,None,"Hamilton, ON",12.1
Employment Status,1012_a - Employed full-time,None,None,New Brunswick,17.6
Employment Status,1012_a - Employed full-time,None,None,Newfoundland,22.3
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,"Whitehorse, YK",33.3
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Whitehorse, YK",17.9
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Whitehorse, YK",33.3
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"Whitehorse, YK",66.7
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",18.2
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",17.6
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",15.2
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"Central and Northern Vancouver Island, BC",5.6
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Prince Albert, SK",7
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Prince Albert, SK",11.8
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Regina, SK",11.5
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Regina, SK",5.3
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"Regina, SK",8.7
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Winnipeg, MN",27.8
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Winnipeg, MN",14.8
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"Winnipeg, MN",10
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,"Thunder Bay, ON",15
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Thunder Bay, ON",17.8
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Thunder Bay, ON",7
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"Thunder Bay, ON",6.7
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,"London, ON",16.7
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"London, ON",5.7
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"London, ON",3.7
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"London, ON",4
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,"Hamilton, ON",25
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,"Hamilton, ON",15.1
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,"Hamilton, ON",10.9
Employment Status,1012_a - Employed full-time,Age group,55 years or more,"Hamilton, ON",8.3
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,New Brunswick,20
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,New Brunswick,20.8
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,New Brunswick,17.3
Employment Status,1012_a - Employed full-time,Age group,Less than 25 years,Newfoundland,19.2
Employment Status,1012_a - Employed full-time,Age group,25 to 39 years,Newfoundland,23.8
Employment Status,1012_a - Employed full-time,Age group,40 to 54 years,Newfoundland,23.3
Employment Status,1012_a - Employed full-time,Age group,55 years or more,Newfoundland,18.2
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Whitehorse, YK",28
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Whitehorse, YK",25
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Central and Northern Vancouver Island, BC",8.3
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Central and Northern Vancouver Island, BC",19.8
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Prince Albert, SK",6.1
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Prince Albert, SK",10.8
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Regina, SK",3.9
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Regina, SK",10.7
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Winnipeg, MN",12
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Winnipeg, MN",24
Employment Status,1012_a - Employed full-time,Gender lived,TFEM,"Winnipeg, MN",25
Employment Status,1012_a - Employed full-time,Gender lived,TMAS,"Winnipeg, MN",20
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Thunder Bay, ON",9.8
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Thunder Bay, ON",16.2
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"London, ON",6.3
Employment Status,1012_a - Employed full-time,Gender lived,CisF,"Hamilton, ON",6.5
Employment Status,1012_a - Employed full-time,Gender lived,CisM,"Hamilton, ON",14.2
Employment Status,1012_a - Employed full-time,Gender lived,TMAS,"Hamilton, ON",50
Employment Status,1012_a - Employed full-time,Gender lived,CisF,New Brunswick,15.9
Employment Status,1012_a - Employed full-time,Gender lived,CisM,New Brunswick,19
Employment Status,1012_b - Employed part-time,None,None,Canada,15.2
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,Canada,17.1
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,Canada,16.4
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,Canada,15.3
Employment Status,1012_b - Employed part-time,Age group,55 years or more,Canada,8.5
Employment Status,1012_b - Employed part-time,Gender lived,CisF,Canada,13.7
Employment Status,1012_b - Employed part-time,Gender lived,CisM,Canada,15.9
Employment Status,1012_b - Employed part-time,Gender lived,TFEM,Canada,21.1
Employment Status,1012_b - Employed part-time,Gender lived,TMAS,Canada,20
Employment Status,1012_b - Employed part-time,None,None,"Whitehorse, YK",18.4
Employment Status,1012_b - Employed part-time,None,None,"Central and Northern Vancouver Island, BC",19.7
Employment Status,1012_b - Employed part-time,None,None,"Prince Albert, SK",7.8
Employment Status,1012_b - Employed part-time,None,None,"Regina, SK",15.1
Employment Status,1012_b - Employed part-time,None,None,"Winnipeg, MN",22.9
Employment Status,1012_b - Employed part-time,None,None,"Thunder Bay, ON",14.1
Employment Status,1012_b - Employed part-time,None,None,"London, ON",11.7
Employment Status,1012_b - Employed part-time,None,None,"Hamilton, ON",14.6
Employment Status,1012_b - Employed part-time,None,None,New Brunswick,20
Employment Status,1012_b - Employed part-time,None,None,Newfoundland,8.5
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,"Whitehorse, YK",33.3
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Whitehorse, YK",21.4
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Whitehorse, YK",13.3
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",18.2
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",15.2
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",32.6
Employment Status,1012_b - Employed part-time,Age group,55 years or more,"Central and Northern Vancouver Island, BC",11.1
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Prince Albert, SK",7
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Prince Albert, SK",10.3
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Regina, SK",17.7
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Regina, SK",17
Employment Status,1012_b - Employed part-time,Age group,55 years or more,"Regina, SK",4.3
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,"Winnipeg, MN",31.6
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Winnipeg, MN",26.6
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Winnipeg, MN",20
Employment Status,1012_b - Employed part-time,Age group,55 years or more,"Winnipeg, MN",10
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,"Thunder Bay, ON",15
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Thunder Bay, ON",13.1
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Thunder Bay, ON",14
Employment Status,1012_b - Employed part-time,Age group,55 years or more,"Thunder Bay, ON",20
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,"London, ON",16.7
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"London, ON",13.8
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"London, ON",9.9
Employment Status,1012_b - Employed part-time,Age group,55 years or more,"London, ON",8
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,"Hamilton, ON",20.8
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,"Hamilton, ON",17.2
Employment Status,1012_b - Employed part-time,Age group,55 years or more,"Hamilton, ON",2.8
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,New Brunswick,40
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,New Brunswick,25.8
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,New Brunswick,12
Employment Status,1012_b - Employed part-time,Age group,55 years or more,New Brunswick,11.1
Employment Status,1012_b - Employed part-time,Age group,Less than 25 years,Newfoundland,7.7
Employment Status,1012_b - Employed part-time,Age group,25 to 39 years,Newfoundland,7.9
Employment Status,1012_b - Employed part-time,Age group,40 to 54 years,Newfoundland,6.7
Employment Status,1012_b - Employed part-time,Age group,55 years or more,Newfoundland,18.2
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Whitehorse, YK",16
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Whitehorse, YK",20.8
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Central and Northern Vancouver Island, BC",20
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Central and Northern Vancouver Island, BC",18.8
Employment Status,1012_b - Employed part-time,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Prince Albert, SK",7.3
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Prince Albert, SK",8.6
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Regina, SK",7.7
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Regina, SK",19.8
Employment Status,1012_b - Employed part-time,Gender lived,TMAS,"Regina, SK",33.3
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Winnipeg, MN",25.3
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Winnipeg, MN",20
Employment Status,1012_b - Employed part-time,Gender lived,TFEM,"Winnipeg, MN",50
Employment Status,1012_b - Employed part-time,Gender lived,TMAS,"Winnipeg, MN",20
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Thunder Bay, ON",6.1
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Thunder Bay, ON",19.7
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"London, ON",7.1
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"London, ON",12.6
Employment Status,1012_b - Employed part-time,Gender lived,CisF,"Hamilton, ON",15.2
Employment Status,1012_b - Employed part-time,Gender lived,CisM,"Hamilton, ON",15.1
Employment Status,1012_b - Employed part-time,Gender lived,CisF,New Brunswick,22.9
Employment Status,1012_b - Employed part-time,Gender lived,CisM,New Brunswick,17.5
Employment Status,1012_b - Employed part-time,Gender lived,TFEM,New Brunswick,50
Employment Status,1012_c - Full-time or part-time student,None,None,Canada,4.5
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,Canada,13.1
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,Canada,4.7
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,Canada,3.2
Employment Status,1012_c - Full-time or part-time student,Age group,55 years or more,Canada,1.1
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,Canada,4.7
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,Canada,3.9
Employment Status,1012_c - Full-time or part-time student,Gender lived,TFEM,Canada,11.1
Employment Status,1012_c - Full-time or part-time student,Gender lived,TMAS,Canada,26.7
Employment Status,1012_c - Full-time or part-time student,None,None,"Whitehorse, YK",10.2
Employment Status,1012_c - Full-time or part-time student,None,None,"Central and Northern Vancouver Island, BC",4.5
Employment Status,1012_c - Full-time or part-time student,None,None,"Prince Albert, SK",7.8
Employment Status,1012_c - Full-time or part-time student,None,None,"Regina, SK",4.4
Employment Status,1012_c - Full-time or part-time student,None,None,"Winnipeg, MN",6.7
Employment Status,1012_c - Full-time or part-time student,None,None,"Thunder Bay, ON",2.5
Employment Status,1012_c - Full-time or part-time student,None,None,"London, ON",1.5
Employment Status,1012_c - Full-time or part-time student,None,None,"Hamilton, ON",3.2
Employment Status,1012_c - Full-time or part-time student,None,None,New Brunswick,2.5
Employment Status,1012_c - Full-time or part-time student,None,None,Newfoundland,7
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,"Whitehorse, YK",33.3
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Whitehorse, YK",10.7
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"Whitehorse, YK",6.7
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",13.6
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",3.3
